date,taiex_close,otc_close,disp,absmove,pct5,adv,n,s_mean,s_abs,s_lim,mkt50_abs,s_k,ld_n,ld_share,ld_abs,ld_dd
2018-04-19,10971.22,155.2,2.0767,1.2681,4.64,58.46,1572,0.7813,2.0464,3.19,1.2599,94.0,15,16.91,2.93,-2.39
2018-04-20,10779.38,153.99,1.8832,1.1274,2.93,33.46,1572,-0.3649,2.0414,2.11,1.1081,95.0,15,17.38,3.65,-5.62
2018-04-23,10697.13,152.79,2.5192,1.633,6.29,29.33,1575,0.3309,3.0933,9.47,1.7095,95.0,15,17.88,4.41,-6.0
2018-04-24,10579.5,148.29,2.5555,2.2433,10.91,12.12,1576,-3.4329,3.6351,8.42,2.215,95.0,12,15.17,5.49,-9.94
2018-04-25,10559.97,148.88,2.1877,1.3187,5.2,43.65,1576,1.3285,2.8762,6.45,1.3605,93.0,11,13.83,3.26,-9.63
2018-04-26,10488.58,145.93,2.6071,2.0102,10.47,17.32,1576,-2.6491,3.6642,8.6,1.9205,93.0,12,15.45,3.06,-10.16
2018-04-27,10553.43,147.47,2.1238,1.3278,5.01,57.87,1576,1.3577,1.9571,3.23,1.3703,93.0,12,15.12,3.2,-6.12
2018-04-30,10657.88,148.77,2.2364,1.4629,5.27,63.52,1576,0.6459,2.1167,3.23,1.5374,93.0,14,16.62,2.3,-5.84
2018-05-02,10618.81,149.86,2.1968,1.3008,5.33,41.31,1576,-0.2202,2.3783,6.45,1.4036,93.0,15,18.16,3.57,-6.57
2018-05-03,10514.18,148.95,2.1274,1.309,4.57,28.68,1576,-0.706,2.3056,7.53,1.3426,93.0,15,16.18,2.51,-6.45
2018-05-04,10529.37,147.83,2.0741,1.2226,4.38,36.59,1577,-0.6588,2.3057,3.23,1.1857,93.0,15,16.68,3.93,-7.2
2018-05-07,10604.91,148.66,2.2005,1.3285,4.63,48.38,1577,1.7091,2.8566,11.7,1.3975,94.0,14,16.1,4.36,-3.22
2018-05-08,10691.38,149.0,1.9916,1.2139,3.49,48.67,1578,-0.4947,1.9334,1.08,1.3145,93.0,15,17.67,2.51,-5.91
2018-05-09,10703.35,149.17,2.1323,1.2748,4.25,38.09,1578,0.7011,2.0163,3.23,1.2007,93.0,14,16.68,3.07,-3.8
2018-05-10,10760.21,150.73,2.2061,1.3507,5.2,51.2,1578,2.0906,2.4466,8.6,1.3466,93.0,15,18.19,2.73,-2.87
2018-05-11,10858.98,150.9,2.3927,1.5106,6.15,37.71,1578,0.219,2.7273,7.45,1.4569,94.0,15,18.48,1.92,-2.62
2018-05-14,10952.39,153.49,2.746,1.693,7.86,42.78,1578,2.806,3.3508,17.2,1.6748,93.0,15,18.29,5.98,-1.7
2018-05-15,10874.73,152.57,2.3739,1.5071,5.14,33.8,1577,0.8603,2.6033,7.45,1.505,94.0,21,20.98,3.79,-2.77
2018-05-16,10897.57,152.66,2.3525,1.4154,5.45,40.65,1577,-0.281,2.2659,0.0,1.3393,94.0,22,23.85,2.37,-3.88
2018-05-17,10833.81,151.93,2.1794,1.2872,4.44,41.79,1577,-0.7679,2.777,5.32,1.2673,94.0,22,24.99,3.13,-5.31
2018-05-18,10830.84,152.03,1.9425,1.1671,3.04,42.74,1577,0.5333,2.1744,4.26,1.1682,94.0,21,23.14,2.32,-4.8
2018-05-21,10966.2,153.12,2.1483,1.3328,4.63,58.91,1577,1.3237,2.4169,8.51,1.376,94.0,19,23.27,3.48,-2.99
2018-05-22,10938.73,152.63,2.0273,1.2036,3.36,33.48,1577,-0.1977,2.0779,2.13,1.1596,94.0,20,23.99,2.91,-4.03
2018-05-23,10886.18,152.41,2.0824,1.2263,3.68,35.45,1577,-0.324,2.4366,5.32,1.1448,94.0,22,25.5,3.08,-6.01
2018-05-24,10936.93,153.51,2.0625,1.2056,4.63,51.74,1577,1.3397,2.2096,3.16,1.0734,95.0,22,26.02,2.02,-5.34
2018-05-25,10942.3,154.23,2.1569,1.2288,4.82,38.36,1577,0.5487,2.2955,4.21,1.1648,95.0,21,25.69,2.24,-3.92
2018-05-28,10987.77,155.3,2.5054,1.4828,6.85,47.81,1577,2.5575,3.4691,17.89,1.3921,95.0,21,25.29,3.06,-3.13
2018-05-29,10964.12,155.18,2.2425,1.2859,4.76,37.48,1577,0.036,2.7293,6.32,1.1674,95.0,23,27.57,2.45,-3.07
