stock_code,cap
2756,14.02
2762,96.07
2801,2902.36
2812,1217.15
2816,75.46
2820,218.9
2832,146.54
2834,1732.06
2836,221.83
2838,928.55
2845,639.79
2849,281.9
2850,496.06
2851,280.14
2852,80.26
2855,722.24
2867,576.38
2880,6130.41
2881,19665.26
2882,15797.44
2883,5678.44
2884,6144.86
2885,8945.19
2886,7461.19
2887,10128.33
2889,555.93
2890,5612.4
2891,13034.26
2892,5104.71
2897,308.6
2901,17.53
2903,309.6
2904,10.27
2905,179.88
2906,27.18
2908,110.65
2910,42.89
2911,7.18
2912,2287.18
2913,86.11
2915,565.41
2916,26.62
2923,490.77
2924,9.47
2926,14.45
2929,6.04
2937,19.47
2939,8.29
2941,4.88
2945,28.08
2947,14.82
2948,11.79
2949,18.93
3002,16.93
3003,92.62
3004,82.89
3005,721.08
3006,769.16
3008,6049.42
3010,312.62
3011,14.96
3013,178.47
3014,216.6
3015,106.75
3016,298.65
3017,11540.77
3018,10.93
3019,367.21
3021,19.69
3022,177.48
3023,775.42
3024,34.93
3025,31.77
3026,983.74
3027,24.03
3028,172.25
3029,183.72
3030,698.02
3031,39.75
3032,95.62
3033,229.77
3034,3304.21
3035,445.54
3036,2963.46
3037,15459.72
3038,32.98
3040,25.24
3041,31.83
3042,596.8
3043,7.81
3044,2089.28
3045,4114.2
3046,43.77
3047,32.59
3048,157.58
3049,85.01
3050,17.36
3051,37.91
3052,24.84
3054,40.58
3055,127.05
3056,67.52
3057,10.88
3058,16.52
3059,124.46
3060,40.09
3062,68.17
3064,2.41
3066,18.44
3067,3.29
3071,28.66
3073,8.77
3078,121.42
3081,2417.02
3083,21.88
3085,8.11
3086,7.52
3088,145.6
3090,445.73
3092,25.22
3093,17.59
3094,29.6
3095,6.32
3105,1619.45
3114,24.03
3115,6.69
3118,10.26
3122,10.4
3128,10.34
3130,67.39
3131,697.82
3135,167.98
3138,50.18
3141,59.16
3147,106.81
3149,142.77
3150,7.17
3152,90.52
3158,25.48
3162,97.7
3163,571.84
3164,14.02
3167,631.07
3168,32.18
3169,66.16
3171,21.87
3176,45.21
3178,26.54
3188,43.66
3189,4494.59
3191,8.11
3205,32.76
3206,19.73
3207,27.63
3209,138.88
3211,550.1
3213,81.29
3217,128.85
3218,118.61
3219,51.33
3221,49.69
3224,27.86
3226,33.17
3227,309.95
3228,105.39
3229,29.55
3230,35.57
3231,6026.2
3232,9.13
3234,123.17
3236,45.41
3252,7.93
3257,41.11
3259,10.88
3260,1371.39
3264,1036.71
3265,214.62
3266,48.44
3268,7.23
3272,8.65
3276,10.39
3284,23.64
3285,16.62
3287,13.06
3288,3.74
3289,127.97
3290,48.35
3293,2209.32
3294,40.07
3296,22.64
3297,9.53
3303,50.9
3305,165.6
3306,22.29
3308,11.91
3310,50.97
3311,32.1
3312,87.11
3313,22.78
3317,62.82
3321,17.78
3322,15.69
3323,29.98
3324,986.62
3325,13.16
3332,30.35
3338,57.32
3339,27.02
3346,25.1
3349,10.34
3354,14.69
3356,45.19
3357,241.37
3360,12.31
3362,259.5
3363,686.39
3372,27.71
3373,7.95
3374,857.51
3376,362.16
3379,10.37
3380,154.65
3388,54.37
3390,18.8
3402,94.58
3406,616.7
3413,354.44
3416,150.12
3419,14.22
3426,12.6
3430,39.11
3432,6.76
3434,11.09
3437,25.74
3438,28.91
3441,35.4
3443,6003.74
3444,30.92
3447,21.95
3450,716.03
3455,113.41
3465,10.54
3466,18.96
3467,14.6
3479,102.41
3481,3994.59
3483,78.33
3484,41.07
3489,23.43
3490,16.33
3491,928.85
3492,7.92
3494,6.59
3498,68.01
3499,7.15
3501,45.59
3504,87.94
3508,17.99
3511,15.91
3512,22.33
3515,265.01
3516,16.11
3518,26.24
3520,12.71
3521,22.57
3522,12.6
3523,10.06
3526,194.93
3527,22.94
3528,60.18
3529,1986.67
3530,41.76
3531,13.39
3532,1225.6
3533,2211.42
3535,69.01
3537,29.69
3540,14.77
3541,11.66
3543,40.36
3545,113.46
3546,46.19
3548,52.5
3550,24.52
3551,110.86
3552,44.07
3555,63.0
3556,40.38
3557,22.35
3558,76.18
3563,440.06
3564,27.23
3567,8.9
3570,28.04
3576,283.24
3577,88.28
3580,31.02
3581,62.49
3583,592.15
3587,185.22
3588,32.24
3591,31.4
3592,186.23
3593,7.61
3594,55.56
3596,402.13
3597,10.3
3605,188.69
3607,17.45
3609,9.75
3611,88.69
3615,24.48
3617,216.55
3622,81.72
3623,5.86
3624,88.71
3625,19.24
3628,28.99
3629,4.86
3630,52.99
3631,25.7
3632,3.25
3645,94.77
3646,9.12
3652,25.69
3653,6529.62
3661,3155.09
3663,68.79
3664,5.09
3665,4623.35
3666,34.88
3669,35.64
3672,5.26
3673,251.31
3675,141.66
3679,69.63
3680,435.31
3684,15.45
3685,30.32
3686,11.36
3687,19.93
3689,98.75
3691,103.37
3693,230.86
3694,86.92
3701,102.93
3702,2112.94
3703,167.53
3704,196.29
3705,142.28
3706,1232.98
3707,246.21
3708,89.81
3709,99.83
3710,14.56
3711,26599.91
3712,49.99
3713,12.68
3714,425.79
3715,330.37
3716,47.93
3717,47.59
4102,8.07
4104,131.67
4105,189.23
4106,25.12
4107,78.31
4108,22.14
